Area,Item,Year,Value,Unit
Algeria,Gross Domestic Product,1972,496.991248,USD
Algeria,Gross Domestic Product,1973,624.193795,USD
Algeria,Gross Domestic Product,1974,875.023948,USD
Algeria,Gross Domestic Product,1975,989.243356,USD
Algeria,Gross Domestic Product,1976,1075.725904,USD
Algeria,Gross Domestic Product,1977,1225.090692,USD
Algeria,Gross Domestic Product,1978,1495.734837,USD
Algeria,Gross Domestic Product,1979,1827.570195,USD
Algeria,Gross Domestic Product,1980,2254.727865,USD
Algeria,Gross Domestic Product,1981,2287.414424,USD
Algeria,Gross Domestic Product,1982,2254.731316,USD
Algeria,Gross Domestic Product,1983,2354.798399,USD
Algeria,Gross Domestic Product,1984,2469.340135,USD
Algeria,Gross Domestic Product,1985,2614.487673,USD
Algeria,Gross Domestic Product,1986,2749.815716,USD
Algeria,Gross Domestic Product,1987,2727.605479,USD
Algeria,Gross Domestic Product,1988,2419.476782,USD
Algeria,Gross Domestic Product,1989,2223.606797,USD
Algeria,Gross Domestic Product,1990,2419.907394,USD
Algeria,Gross Domestic Product,1991,1781.785125,USD
Algeria,Gross Domestic Product,1992,1835.838094,USD
Algeria,Gross Domestic Product,1993,1858.825858,USD
Algeria,Gross Domestic Product,1994,1515.220033,USD
Algeria,Gross Domestic Product,1995,1473.820352,USD
Algeria,Gross Domestic Product,1996,1615.900704,USD
Algeria,Gross Domestic Product,1997,1630.764231,USD
Algeria,Gross Domestic Product,1998,1606.66805,USD
Algeria,Gross Domestic Product,1999,1599.251928,USD
Algeria,Gross Domestic Product,2000,1776.36296,USD
Algeria,Gross Domestic Product,2001,1764.583171,USD
Algeria,Gross Domestic Product,2002,1796.672161,USD
Algeria,Gross Domestic Product,2003,2117.048269,USD
Algeria,Gross Domestic Product,2004,2624.793282,USD
Algeria,Gross Domestic Product,2005,3131.3283,USD
Algeria,Gross Domestic Product,2006,3500.134528,USD
Algeria,Gross Domestic Product,2007,3971.803658,USD
Algeria,Gross Domestic Product,2008,4946.563793,USD
Algeria,Gross Domestic Product,2009,3898.478923,USD
Algeria,Gross Domestic Product,2010,4495.921455,USD
Algeria,Gross Domestic Product,2011,5473.446129,USD
Algeria,Gross Domestic Product,2012,5610.733341,USD
Algeria,Gross Domestic Product,2013,5519.777576,USD
Algeria,Gross Domestic Product,2014,5516.229431,USD
Algeria,Gross Domestic Product,2015,4197.417286,USD
Algeria,Gross Domestic Product,2016,3967.200546,USD
Algeria,Gross Domestic Product,2017,4134.936055,USD
Algeria,Gross Domestic Product,2018,4171.795392,USD
Algeria,Gross Domestic Product,2019,4021.983255,USD
Algeria,Gross Domestic Product,2020,3354.153164,USD
Algeria,Gross Domestic Product,2021,3700.324058,USD
Algeria,Gross Domestic Product,2022,4273.93704,USD
Andorra,Gross Domestic Product,1970,5008.901637,USD
Andorra,Gross Domestic Product,1971,5305.716707,USD
Andorra,Gross Domestic Product,1972,6285.301526,USD
Andorra,Gross Domestic Product,1973,7824.531307,USD
Andorra,Gross Domestic Product,1974,9078.009005,USD
Andorra,Gross Domestic Product,1975,10076.494834,USD
Andorra,Gross Domestic Product,1976,9817.312977,USD
Andorra,Gross Domestic Product,1977,10384.507961,USD
Andorra,Gross Domestic Product,1978,11964.939169,USD
Andorra,Gross Domestic Product,1979,15252.250397,USD
Andorra,Gross Domestic Product,1980,15860.623323,USD
Andorra,Gross Domestic Product,1981,13307.107321,USD
Andorra,Gross Domestic Product,1982,12323.290533,USD
Andorra,Gross Domestic Product,1983,10260.110198,USD
Andorra,Gross Domestic Product,1984,9901.370028,USD
Andorra,Gross Domestic Product,1985,10014.894298,USD
Andorra,Gross Domestic Product,1986,13373.137597,USD
Andorra,Gross Domestic Product,1987,16237.923737,USD
Andorra,Gross Domestic Product,1988,18383.986675,USD
Andorra,Gross Domestic Product,1989,19492.103211,USD
Andorra,Gross Domestic Product,1990,24305.217277,USD
Andorra,Gross Domestic Product,1991,25265.665752,USD
Andorra,Gross Domestic Product,1992,26727.546303,USD
Andorra,Gross Domestic Product,1993,21541.304501,USD
Andorra,Gross Domestic Product,1994,21094.168558,USD
Andorra,Gross Domestic Product,1995,23701.62707,USD
Andorra,Gross Domestic Product,1996,24144.350367,USD
Andorra,Gross Domestic Product,1997,23096.086818,USD
Andorra,Gross Domestic Product,1998,23525.23213,USD
Andorra,Gross Domestic Product,1999,23894.616282,USD
Andorra,Gross Domestic Product,2000,21620.416388,USD
Andorra,Gross Domestic Product,2001,22809.101548,USD
Andorra,Gross Domestic Product,2002,24785.006079,USD
Andorra,Gross Domestic Product,2003,31954.153531,USD
Andorra,Gross Domestic Product,2004,37630.694912,USD
Andorra,Gross Domestic Product,2005,39583.986001,USD
Andorra,Gross Domestic Product,2006,43084.246225,USD
Andorra,Gross Domestic Product,2007,50562.829253,USD
Andorra,Gross Domestic Product,2008,53721.433995,USD
Andorra,Gross Domestic Product,2009,49750.667238,USD
Andorra,Gross Domestic Product,2010,48190.908728,USD
Andorra,Gross Domestic Product,2011,51360.922656,USD
Andorra,Gross Domestic Product,2012,44904.881276,USD
Andorra,Gross Domestic Product,2013,44735.004774,USD
Andorra,Gross Domestic Product,2014,45619.782548,USD
Andorra,Gross Domestic Product,2015,38869.870777,USD
Andorra,Gross Domestic Product,2016,39904.138181,USD
Andorra,Gross Domestic Product,2017,40632.206416,USD
Andorra,Gross Domestic Product,2018,42904.822583,USD
Andorra,Gross Domestic Product,2019,41328.634079,USD
Andorra,Gross Domestic Product,2020,37207.175636,USD
Andorra,Gross Domestic Product,2021,42066.04157,USD
Andorra,Gross Domestic Product,2022,41986.505735,USD
Angola,Gross Domestic Product,1970,631.371723,USD
Angola,Gross Domestic Product,1971,648.763735,USD
Angola,Gross Domestic Product,1972,644.513415,USD
Angola,Gross Domestic Product,1973,762.557138,USD
Angola,Gross Domestic Product,1974,827.190829,USD
Angola,Gross Domestic Product,1975,589.734449,USD
Angola,Gross Domestic Product,1976,547.82267,USD
Angola,Gross Domestic Product,1977,578.312773,USD
Angola,Gross Domestic Product,1978,623.486512,USD
Angola,Gross Domestic Product,1979,668.905824,USD
Angola,Gross Domestic Product,1980,858.490043,USD
Angola,Gross Domestic Product,1981,775.421473,USD
Angola,Gross Domestic Product,1982,748.061182,USD
Angola,Gross Domestic Product,1983,751.8847,USD
Angola,Gross Domestic Product,1984,768.749427,USD
Angola,Gross Domestic Product,1985,913.58653,USD
Angola,Gross Domestic Product,1986,827.336345,USD
Angola,Gross Domestic Product,1987,920.490543,USD
Angola,Gross Domestic Product,1988,960.871677,USD
Angola,Gross Domestic Product,1989,1081.085537,USD
Angola,Gross Domestic Product,1990,1154.981017,USD
Angola,Gross Domestic Product,1991,1323.358445,USD
Angola,Gross Domestic Product,1992,1471.286976,USD
Angola,Gross Domestic Product,1993,1032.969394,USD
Angola,Gross Domestic Product,1994,1029.615503,USD
Angola,Gross Domestic Product,1995,477.437354,USD
Angola,Gross Domestic Product,1996,606.657965,USD
Angola,Gross Domestic Product,1997,687.693514,USD
Angola,Gross Domestic Product,1998,560.803284,USD
Angola,Gross Domestic Product,1999,518.386877,USD
Angola,Gross Domestic Product,2000,744.620496,USD
Angola,Gross Domestic Product,2001,705.282288,USD
Angola,Gross Domestic Product,2002,872.657638,USD
Angola,Gross Domestic Product,2003,982.80559,USD
Angola,Gross Domestic Product,2004,1254.695488,USD
Angola,Gross Domestic Product,2005,1900.722637,USD
Angola,Gross Domestic Product,2006,2597.963585,USD
Angola,Gross Domestic Product,2007,3121.348735,USD
Angola,Gross Domestic Product,2008,4081.717497,USD
Angola,Gross Domestic Product,2009,3123.698754,USD
Angola,Gross Domestic Product,2010,3586.663902,USD
Angola,Gross Domestic Product,2011,4608.155096,USD
Angola,Gross Domestic Product,2012,5083.826781,USD
Angola,Gross Domestic Product,2013,5228.511165,USD
Angola,Gross Domestic Product,2014,5371.216648,USD
Angola,Gross Domestic Product,2015,4130.930036,USD
Angola,Gross Domestic Product,2016,3468.520357,USD
Angola,Gross Domestic Product,2017,4042.681403,USD
Angola,Gross Domestic Product,2018,3240.862222,USD
Angola,Gross Domestic Product,2019,2569.629791,USD
Angola,Gross Domestic Product,2020,1639.951036,USD
Angola,Gross Domestic Product,2021,2044.218212,USD
Angola,Gross Domestic Product,2022,3256.343084,USD
Anguilla,Gross Domestic Product,1970,621.101316,USD
Anguilla,Gross Domestic Product,1971,725.21385,USD
Anguilla,Gross Domestic Product,1972,850.887123,USD
Anguilla,Gross Domestic Product,1973,957.808007,USD
Anguilla,Gross Domestic Product,1974,1049.881766,USD
Anguilla,Gross Domestic Product,1975,1140.561267,USD
Anguilla,Gross Domestic Product,1976,1086.473476,USD
Anguilla,Gross Domestic Product,1977,1210.224756,USD
Anguilla,Gross Domestic Product,1978,1392.992377,USD
Anguilla,Gross Domestic Product,1979,1604.181203,USD
Anguilla,Gross Domestic Product,1980,1847.946477,USD
Anguilla,Gross Domestic Product,1981,2128.818377,USD
Anguilla,Gross Domestic Product,1982,2451.399758,USD
Anguilla,Gross Domestic Product,1983,2822.171781,USD
Anguilla,Gross Domestic Product,1984,3232.101386,USD
Anguilla,Gross Domestic Product,1985,3927.385315,USD
Anguilla,Gross Domestic Product,1986,4892.49792,USD
Anguilla,Gross Domestic Product,1987,5881.492091,USD
Anguilla,Gross Domestic Product,1988,7092.885894,USD
Anguilla,Gross Domestic Product,1989,8497.680716,USD
Anguilla,Gross Domestic Product,1990,9091.120776,USD
Anguilla,Gross Domestic Product,1991,9019.390825,USD
Anguilla,Gross Domestic Product,1992,9502.691114,USD
Anguilla,Gross Domestic Product,1993,10097.695834,USD
Anguilla,Gross Domestic Product,1994,10984.379839,USD
Anguilla,Gross Domestic Product,1995,10804.757259,USD
Anguilla,Gross Domestic Product,1996,11106.287735,USD
Anguilla,Gross Domestic Product,1997,12107.471926,USD
Anguilla,Gross Domestic Product,1998,13310.052306,USD
Anguilla,Gross Domestic Product,1999,13738.207735,USD
Anguilla,Gross Domestic Product,2000,13599.871827,USD
Anguilla,Gross Domestic Product,2001,13657.272077,USD
Anguilla,Gross Domestic Product,2002,13635.747309,USD
Anguilla,Gross Domestic Product,2003,14535.601505,USD
Anguilla,Gross Domestic Product,2004,16851.433098,USD
Anguilla,Gross Domestic Product,2005,18881.460135,USD
Anguilla,Gross Domestic Product,2006,22969.87454,USD
Anguilla,Gross Domestic Product,2007,28314.525001,USD
Anguilla,Gross Domestic Product,2008,27954.380146,USD
Anguilla,Gross Domestic Product,2009,21967.603321,USD
Anguilla,Gross Domestic Product,2010,20461.472709,USD
Anguilla,Gross Domestic Product,2011,21979.306343,USD
Anguilla,Gross Domestic Product,2012,21145.381725,USD
Anguilla,Gross Domestic Product,2013,20889.429576,USD
Anguilla,Gross Domestic Product,2014,22356.520827,USD
Anguilla,Gross Domestic Product,2015,22756.167527,USD
Anguilla,Gross Domestic Product,2016,21518.386002,USD
Anguilla,Gross Domestic Product,2017,18718.318718,USD
Anguilla,Gross Domestic Product,2018,21240.732202,USD
Anguilla,Gross Domestic Product,2019,24494.774358,USD
Anguilla,Gross Domestic Product,2020,16582.659014,USD
Anguilla,Gross Domestic Product,2021,19216.327989,USD
Anguilla,Gross Domestic Product,2022,19281.895415,USD
Antigua and Barbuda,Gross Domestic Product,1970,524.91317,USD
Antigua and Barbuda,Gross Domestic Product,1971,635.428324,USD
Antigua and Barbuda,Gross Domestic Product,1972,871.86783,USD
Antigua and Barbuda,Gross Domestic Product,1973,1215.586135,USD
Antigua and Barbuda,Gross Domestic Product,1974,1300.717871,USD
Antigua and Barbuda,Gross Domestic Product,1975,1333.904761,USD
Antigua and Barbuda,Gross Domestic Product,1976,1109.562071,USD
Antigua and Barbuda,Gross Domestic Product,1977,1260.56483,USD
Antigua and Barbuda,Gross Domestic Product,1978,1422.431223,USD
Antigua and Barbuda,Gross Domestic Product,1979,1744.067356,USD
Antigua and Barbuda,Gross Domestic Product,1980,2071.994015,USD
Antigua and Barbuda,Gross Domestic Product,1981,2337.246877,USD
Antigua and Barbuda,Gross Domestic Product,1982,2583.524364,USD
Antigua and Barbuda,Gross Domestic Product,1983,2862.96832,USD
Antigua and Barbuda,Gross Domestic Product,1984,3242.319073,USD
Antigua and Barbuda,Gross Domestic Product,1985,3763.049742,USD
Antigua and Barbuda,Gross Domestic Product,1986,4488.20529,USD
Antigua and Barbuda,Gross Domestic Product,1987,5239.446088,USD
Antigua and Barbuda,Gross Domestic Product,1988,6230.456019,USD
Antigua and Barbuda,Gross Domestic Product,1989,6895.409773,USD
Antigua and Barbuda,Gross Domestic Product,1990,7255.406303,USD
Antigua and Barbuda,Gross Domestic Product,1991,7569.969001,USD
Antigua and Barbuda,Gross Domestic Product,1992,7721.763119,USD
Antigua and Barbuda,Gross Domestic Product,1993,8129.144121,USD
Antigua and Barbuda,Gross Domestic Product,1994,8788.013323,USD
Antigua and Barbuda,Gross Domestic Product,1995,8440.034526,USD
Antigua and Barbuda,Gross Domestic Product,1996,9079.481212,USD
Antigua and Barbuda,Gross Domestic Product,1997,9556.832802,USD
Antigua and Barbuda,Gross Domestic Product,1998,10029.47775,USD
Antigua and Barbuda,Gross Domestic Product,1999,10379.160402,USD
Antigua and Barbuda,Gross Domestic Product,2000,10443.501926,USD
Antigua and Barbuda,Gross Domestic Product,2001,10152.41969,USD
Antigua and Barbuda,Gross Domestic Product,2002,10396.134848,USD
Antigua and Barbuda,Gross Domestic Product,2003,10758.838249,USD
Antigua and Barbuda,Gross Domestic Product,2004,11380.088364,USD
Antigua and Barbuda,Gross Domestic Product,2005,12708.077996,USD
Antigua and Barbuda,Gross Domestic Product,2006,14203.917744,USD
Antigua and Barbuda,Gross Domestic Product,2007,15879.692851,USD
Antigua and Barbuda,Gross Domestic Product,2008,16457.104063,USD
Antigua and Barbuda,Gross Domestic Product,2009,14530.59869,USD
Antigua and Barbuda,Gross Domestic Product,2010,13404.516016,USD
Antigua and Barbuda,Gross Domestic Product,2011,13117.146941,USD
Antigua and Barbuda,Gross Domestic Product,2012,13686.476585,USD
Antigua and Barbuda,Gross Domestic Product,2013,13350.149137,USD
Antigua and Barbuda,Gross Domestic Product,2014,14004.811212,USD
Antigua and Barbuda,Gross Domestic Product,2015,14861.882707,USD
Antigua and Barbuda,Gross Domestic Product,2016,15862.651663,USD
Antigua and Barbuda,Gross Domestic Product,2017,16110.556281,USD
Antigua and Barbuda,Gross Domestic Product,2018,17527.169629,USD
Antigua and Barbuda,Gross Domestic Product,2019,18319.456054,USD
Antigua and Barbuda,Gross Domestic Product,2020,14788.39519,USD
Antigua and Barbuda,Gross Domestic Product,2021,15245.818985,USD
Antigua and Barbuda,Gross Domestic Product,2022,17071.659371,USD
Argentina,Gross Domestic Product,1970,1425.357894,USD
Argentina,Gross Domestic Product,1971,1678.388787,USD
Argentina,Gross Domestic Product,1972,1556.526579,USD
Argentina,Gross Domestic Product,1973,1724.205313,USD
Argentina,Gross Domestic Product,1974,1907.094439,USD
Argentina,Gross Domestic Product,1975,1996.493745,USD
Argentina,Gross Domestic Product,1976,2080.525773,USD
Argentina,Gross Domestic Product,1977,2304.812606,USD
Argentina,Gross Domestic Product,1978,2349.440726,USD
Argentina,Gross Domestic Product,1979,2679.667129,USD
Argentina,Gross Domestic Product,1980,2917.571607,USD
Argentina,Gross Domestic Product,1981,2973.269614,USD
Argentina,Gross Domestic Product,1982,3009.445162,USD
Argentina,Gross Domestic Product,1983,3205.565682,USD
Argentina,Gross Domestic Product,1984,3336.14212,USD
Argentina,Gross Domestic Product,1985,3154.143936,USD
Argentina,Gross Domestic Product,1986,3731.417534,USD
Argentina,Gross Domestic Product,1987,3777.47395,USD
Argentina,Gross Domestic Product,1988,4339.181337,USD
Argentina,Gross Domestic Product,1989,2581.765305,USD
Argentina,Gross Domestic Product,1990,4693.526965,USD
Argentina,Gross Domestic Product,1991,6210.082556,USD
Argentina,Gross Domestic Product,1992,7385.823249,USD
Argentina,Gross Domestic Product,1993,7540.225857,USD
Argentina,Gross Domestic Product,1994,8097.348546,USD
Argentina,Gross Domestic Product,1995,8003.792851,USD
Argentina,Gross Domestic Product,1996,8336.707754,USD
Argentina,Gross Domestic Product,1997,8865.669983,USD
Argentina,Gross Domestic Product,1998,8945.805214,USD
Argentina,Gross Domestic Product,1999,8387.032495,USD
Argentina,Gross Domestic Product,2000,8312.430527,USD
Argentina,Gross Domestic Product,2001,7772.969216,USD
Argentina,Gross Domestic Product,2002,2918.925923,USD
Argentina,Gross Domestic Product,2003,3669.040649,USD
Argentina,Gross Domestic Product,2004,4291.515837,USD
Argentina,Gross Domestic Product,2005,5134.876718,USD
Argentina,Gross Domestic Product,2006,5937.434933,USD
Argentina,Gross Domestic Product,2007,7266.384194,USD
Argentina,Gross Domestic Product,2008,9078.970897,USD
Argentina,Gross Domestic Product,2009,8267.539947,USD
Argentina,Gross Domestic Product,2010,10376.792178,USD
Argentina,Gross Domestic Product,2011,12768.514643,USD
Argentina,Gross Domestic Product,2012,13859.311731,USD
Argentina,Gross Domestic Product,2013,14469.00385,USD
Argentina,Gross Domestic Product,2014,13241.393385,USD
Argentina,Gross Domestic Product,2015,14908.621297,USD
Argentina,Gross Domestic Product,2016,12767.455354,USD
Argentina,Gross Domestic Product,2017,14609.78337,USD
Argentina,Gross Domestic Product,2018,11816.649537,USD
Argentina,Gross Domestic Product,2019,10006.693111,USD
Argentina,Gross Domestic Product,2020,8560.70994,USD
Argentina,Gross Domestic Product,2021,10761.081627,USD
Argentina,Gross Domestic Product,2022,13903.886244,USD
Armenia,Gross Domestic Product,1990,647.179931,USD
Armenia,Gross Domestic Product,1991,580.948237,USD
Armenia,Gross Domestic Product,1992,350.24677,USD
Armenia,Gross Domestic Product,1993,338.041712,USD
Armenia,Gross Domestic Product,1994,372.668109,USD
Armenia,Gross Domestic Product,1995,412.936218,USD
Armenia,Gross Domestic Product,1996,516.244396,USD
Armenia,Gross Domestic Product,1997,534.176615,USD
Armenia,Gross Domestic Product,1998,622.688397,USD
Armenia,Gross Domestic Product,1999,613.861328,USD
Armenia,Gross Domestic Product,2000,643.370682,USD
Armenia,Gross Domestic Product,2001,721.038082,USD
Armenia,Gross Domestic Product,2002,816.14593,USD
Armenia,Gross Domestic Product,2003,970.639231,USD
Armenia,Gross Domestic Product,2004,1244.127184,USD
Armenia,Gross Domestic Product,2005,1714.981938,USD
Armenia,Gross Domestic Product,2006,2249.646857,USD
Armenia,Gross Domestic Product,2007,3267.817097,USD
Armenia,Gross Domestic Product,2008,4168.591756,USD
Armenia,Gross Domestic Product,2009,3111.145697,USD
Armenia,Gross Domestic Product,2010,3351.797591,USD
Armenia,Gross Domestic Product,2011,3692.682224,USD
Armenia,Gross Domestic Product,2012,3643.715404,USD
Armenia,Gross Domestic Product,2013,3833.157071,USD
Armenia,Gross Domestic Product,2014,4017.229913,USD
Armenia,Gross Domestic Product,2015,3666.141825,USD
Armenia,Gross Domestic Product,2016,3679.952349,USD
Armenia,Gross Domestic Product,2017,4041.995072,USD
Armenia,Gross Domestic Product,2018,4391.923274,USD
Armenia,Gross Domestic Product,2019,4828.504889,USD
Armenia,Gross Domestic Product,2020,4505.867746,USD
Armenia,Gross Domestic Product,2021,4966.516676,USD
Armenia,Gross Domestic Product,2022,7014.211117,USD
Aruba,Gross Domestic Product,1970,3343.551506,USD
Aruba,Gross Domestic Product,1971,3539.15472,USD
Aruba,Gross Domestic Product,1972,3725.350305,USD
Aruba,Gross Domestic Product,1973,3890.23159,USD
Aruba,Gross Domestic Product,1974,4052.355158,USD
Aruba,Gross Domestic Product,1975,4220.081349,USD
Aruba,Gross Domestic Product,1976,4410.32429,USD
Aruba,Gross Domestic Product,1977,4624.873192,USD
Aruba,Gross Domestic Product,1978,4849.875669,USD
Aruba,Gross Domestic Product,1979,5086.334202,USD
Aruba,Gross Domestic Product,1980,5335.020756,USD
Aruba,Gross Domestic Product,1981,5588.278658,USD
Aruba,Gross Domestic Product,1982,5839.363116,USD
Aruba,Gross Domestic Product,1983,6095.886644,USD
Aruba,Gross Domestic Product,1984,6371.720739,USD
Aruba,Gross Domestic Product,1985,6679.742664,USD
Aruba,Gross Domestic Product,1986,7027.652952,USD
Aruba,Gross Domestic Product,1987,8464.825793,USD
Aruba,Gross Domestic Product,1988,10372.96308,USD
Aruba,Gross Domestic Product,1989,12043.269063,USD
Aruba,Gross Domestic Product,1990,13023.500202,USD
Aruba,Gross Domestic Product,1991,14378.751563,USD
Aruba,Gross Domestic Product,1992,15277.872679,USD
Aruba,Gross Domestic Product,1993,16745.449946,USD
Aruba,Gross Domestic Product,1994,18657.27256,USD
Aruba,Gross Domestic Product,1995,17961.488571,USD
Aruba,Gross Domestic Product,1996,18207.527433,USD
Aruba,Gross Domestic Product,1997,19609.829517,USD
Aruba,Gross Domestic Product,1998,20688.006473,USD
Aruba,Gross Domestic Product,1999,20782.619497,USD
Aruba,Gross Domestic Product,2000,21026.167091,USD
Aruba,Gross Domestic Product,2001,20911.192767,USD
Aruba,Gross Domestic Product,2002,21375.269123,USD
Aruba,Gross Domestic Product,2003,22050.589873,USD
Aruba,Gross Domestic Product,2004,24105.524121,USD
Aruba,Gross Domestic Product,2005,24978.215761,USD
Aruba,Gross Domestic Product,2006,25832.919722,USD
Aruba,Gross Domestic Product,2007,27665.311024,USD
Aruba,Gross Domestic Product,2008,29011.616253,USD
Aruba,Gross Domestic Product,2009,25740.77023,USD
Aruba,Gross Domestic Product,2010,24452.594307,USD
Aruba,Gross Domestic Product,2011,26043.167356,USD
Aruba,Gross Domestic Product,2012,25611.159354,USD
Aruba,Gross Domestic Product,2013,26514.86355,USD
Aruba,Gross Domestic Product,2014,26940.258722,USD
Aruba,Gross Domestic Product,2015,28419.243101,USD
Aruba,Gross Domestic Product,2016,28449.728927,USD
Aruba,Gross Domestic Product,2017,29329.092343,USD
Aruba,Gross Domestic Product,2018,30220.172742,USD
Aruba,Gross Domestic Product,2019,31650.760537,USD
Aruba,Gross Domestic Product,2020,24487.863559,USD
